Registration_Number,Semester,Subject,Marks
REG2023017,2,Bioinformatics,51
REG2023017,3,Biochemistry,90
REG2023017,3,Genetics,82
REG2023017,3,Cell Biology,86
REG2023017,3,Microbiology,65
REG2023017,3,Bioinformatics,95
REG2023017,4,Biochemistry,59
REG2023017,4,Genetics,68
REG2023017,4,Cell Biology,77
REG2023017,4,Microbiology,50
REG2023017,4,Bioinformatics,89
REG2023018,1,Structural Analysis,72
REG2023018,1,Geotechnical Engineering,65
REG2023018,1,Transportation Engineering,86
REG2023018,1,Hydrology,76
REG2023018,1,Surveying,61
REG2023018,2,Structural Analysis,92
REG2023018,2,Geotechnical Engineering,92
REG2023018,2,Transportation Engineering,55
REG2023018,2,Hydrology,83
REG2023018,2,Surveying,73
REG2023018,3,Structural Analysis,54
REG2023018,3,Geotechnical Engineering,83
REG2023018,3,Transportation Engineering,84
REG2023018,3,Hydrology,82
REG2023018,3,Surveying,100
REG2023018,4,Structural Analysis,82
REG2023018,4,Geotechnical Engineering,85
REG2023018,4,Transportation Engineering,51
REG2023018,4,Hydrology,74
REG2023018,4,Surveying,80
REG2023019,1,Circuit Analysis,52
REG2023019,1,Digital Electronics,90
REG2023019,1,Power Systems,74
REG2023019,1,Control Systems,73
REG2023019,1,Signals & Systems,66
REG2023019,2,Circuit Analysis,97
REG2023019,2,Digital Electronics,51
REG2023019,2,Power Systems,72
REG2023019,2,Control Systems,100
REG2023019,2,Signals & Systems,54
REG2023019,3,Circuit Analysis,72
REG2023019,3,Digital Electronics,65
REG2023019,3,Power Systems,96
REG2023019,3,Control Systems,92
REG2023019,3,Signals & Systems,90
REG2023019,4,Circuit Analysis,56
REG2023019,4,Digital Electronics,99
REG2023019,4,Power Systems,87
REG2023019,4,Control Systems,97
REG2023019,4,Signals & Systems,98
REG2023020,1,Circuit Analysis,71
REG2023020,1,Digital Electronics,58
REG2023020,1,Power Systems,52
REG2023020,1,Control Systems,72
REG2023020,1,Signals & Systems,84
REG2023020,2,Circuit Analysis,71
REG2023020,2,Digital Electronics,91
REG2023020,2,Power Systems,61
REG2023020,2,Control Systems,99
REG2023020,2,Signals & Systems,93
REG2023020,3,Circuit Analysis,79
REG2023020,3,Digital Electronics,94
REG2023020,3,Power Systems,80
REG2023020,3,Control Systems,90
REG2023020,3,Signals & Systems,61
REG2023020,4,Circuit Analysis,58
REG2023020,4,Digital Electronics,54
REG2023020,4,Power Systems,95
REG2023020,4,Control Systems,99
REG2023020,4,Signals & Systems,79
REG2023021,1,Biochemistry,52
REG2023021,1,Genetics,68
REG2023021,1,Cell Biology,62
REG2023021,1,Microbiology,52
REG2023021,1,Bioinformatics,100
REG2023021,2,Biochemistry,62
REG2023021,2,Genetics,52
REG2023021,2,Cell Biology,70
REG2023021,2,Microbiology,69
REG2023021,2,Bioinformatics,82
REG2023021,3,Biochemistry,75
REG2023021,3,Genetics,84
REG2023021,3,Cell Biology,80
REG2023021,3,Microbiology,66
REG2023021,3,Bioinformatics,52
REG2023021,4,Biochemistry,98
REG2023021,4,Genetics,91
REG2023021,4,Cell Biology,62
REG2023021,4,Microbiology,68
REG2023021,4,Bioinformatics,72
REG2023022,1,Data Structures,99
REG2023022,1,Algorithms,53
REG2023022,1,Database Systems,91
REG2023022,1,Operating Systems,71
REG2023022,1,Discrete Mathematics,67
REG2023022,2,Data Structures,57
REG2023022,2,Algorithms,73
REG2023022,2,Database Systems,77
REG2023022,2,Operating Systems,75
REG2023022,2,Discrete Mathematics,97
REG2023022,3,Data Structures,78
REG2023022,3,Algorithms,74
REG2023022,3,Database Systems,71
REG2023022,3,Operating Systems,61
REG2023022,3,Discrete Mathematics,81
REG2023022,4,Data Structures,94
REG2023022,4,Algorithms,81
REG2023022,4,Database Systems,73
REG2023022,4,Operating Systems,83
REG2023022,4,Discrete Mathematics,67
REG2023023,1,Data Structures,55
REG2023023,1,Algorithms,96
REG2023023,1,Database Systems,77
REG2023023,1,Operating Systems,55
REG2023023,1,Discrete Mathematics,77
REG2023023,2,Data Structures,88
REG2023023,2,Algorithms,61
REG2023023,2,Database Systems,84
REG2023023,2,Operating Systems,68
REG2023023,2,Discrete Mathematics,70
REG2023023,3,Data Structures,56
REG2023023,3,Algorithms,55
REG2023023,3,Database Systems,70
REG2023023,3,Operating Systems,92
REG2023023,3,Discrete Mathematics,68
REG2023023,4,Data Structures,69
REG2023023,4,Algorithms,78
REG2023023,4,Database Systems,88
REG2023023,4,Operating Systems,95
REG2023023,4,Discrete Mathematics,77
REG2023024,1,Thermodynamics,60
REG2023024,1,Fluid Mechanics,94
REG2023024,1,Machine Design,78
REG2023024,1,Material Science,72
REG2023024,1,Robotics,78
REG2023024,2,Thermodynamics,52
REG2023024,2,Fluid Mechanics,96
REG2023024,2,Machine Design,72
REG2023024,2,Material Science,89
REG2023024,2,Robotics,77
REG2023024,3,Thermodynamics,67
REG2023024,3,Fluid Mechanics,90
REG2023024,3,Machine Design,100
REG2023024,3,Material Science,53
REG2023024,3,Robotics,54
REG2023024,4,Thermodynamics,92
REG2023024,4,Fluid Mechanics,90
REG2023024,4,Machine Design,75
REG2023024,4,Material Science,73
REG2023024,4,Robotics,82
REG2023025,1,Thermodynamics,97
REG2023025,1,Fluid Mechanics,93
REG2023025,1,Machine Design,60
REG2023025,1,Material Science,51
REG2023025,1,Robotics,59
REG2023025,2,Thermodynamics,88
REG2023025,2,Fluid Mechanics,93
REG2023025,2,Machine Design,100
REG2023025,2,Material Science,78
REG2023025,2,Robotics,52
REG2023025,3,Thermodynamics,58
REG2023025,3,Fluid Mechanics,54
REG2023025,3,Machine Design,65
REG2023025,3,Material Science,99
REG2023025,3,Robotics,91
REG2023025,4,Thermodynamics,73
REG2023025,4,Fluid Mechanics,73
REG2023025,4,Machine Design,74
REG2023025,4,Material Science,86
REG2023025,4,Robotics,52
REG2023026,1,Circuit Analysis,88
REG2023026,1,Digital Electronics,59
REG2023026,1,Power Systems,93
REG2023026,1,Control Systems,78
REG2023026,1,Signals & Systems,73
REG2023026,2,Circuit Analysis,73
REG2023026,2,Digital Electronics,78
REG2023026,2,Power Systems,98
REG2023026,2,Control Systems,54
REG2023026,2,Signals & Systems,86
REG2023026,3,Circuit Analysis,58
REG2023026,3,Digital Electronics,83
REG2023026,3,Power Systems,73
REG2023026,3,Control Systems,75
REG2023026,3,Signals & Systems,70
REG2023026,4,Circuit Analysis,91
REG2023026,4,Digital Electronics,67
REG2023026,4,Power Systems,65
REG2023026,4,Control Systems,57
REG2023026,4,Signals & Systems,51
REG2023027,1,Thermodynamics,97
REG2023027,1,Fluid Mechanics,61
REG2023027,1,Machine Design,81
REG2023027,1,Material Science,83
REG2023027,1,Robotics,74
REG2023027,2,Thermodynamics,85
REG2023027,2,Fluid Mechanics,57
REG2023027,2,Machine Design,66
REG2023027,2,Material Science,99
REG2023027,2,Robotics,66
REG2023027,3,Thermodynamics,95
REG2023027,3,Fluid Mechanics,78
REG2023027,3,Machine Design,63
REG2023027,3,Material Science,89
REG2023027,3,Robotics,68
REG2023027,4,Thermodynamics,94
REG2023027,4,Fluid Mechanics,81
REG2023027,4,Machine Design,62
REG2023027,4,Material Science,57
REG2023027,4,Robotics,58
REG2023028,1,Thermodynamics,54
REG2023028,1,Fluid Mechanics,78
REG2023028,1,Machine Design,61
REG2023028,1,Material Science,95
REG2023028,1,Robotics,78
REG2023028,2,Thermodynamics,55
REG2023028,2,Fluid Mechanics,93
REG2023028,2,Machine Design,70
REG2023028,2,Material Science,92
REG2023028,2,Robotics,72
REG2023028,3,Thermodynamics,95
REG2023028,3,Fluid Mechanics,54
REG2023028,3,Machine Design,85
REG2023028,3,Material Science,84
REG2023028,3,Robotics,68
REG2023028,4,Thermodynamics,69
REG2023028,4,Fluid Mechanics,60
REG2023028,4,Machine Design,95
REG2023028,4,Material Science,95
REG2023028,4,Robotics,94
REG2023029,1,Biochemistry,90
REG2023029,1,Genetics,61
REG2023029,1,Cell Biology,100
REG2023029,1,Microbiology,73
REG2023029,1,Bioinformatics,82
REG2023029,2,Biochemistry,64
REG2023029,2,Genetics,57
REG2023029,2,Cell Biology,62
REG2023029,2,Microbiology,100
REG2023029,2,Bioinformatics,58
REG2023029,3,Biochemistry,65
REG2023029,3,Genetics,100
REG2023029,3,Cell Biology,81
REG2023029,3,Microbiology,51
REG2023029,3,Bioinformatics,73
REG2023029,4,Biochemistry,85
REG2023029,4,Genetics,86
REG2023029,4,Cell Biology,73
REG2023029,4,Microbiology,79
REG2023029,4,Bioinformatics,85
REG2023030,1,Biochemistry,58
REG2023030,1,Genetics,89
REG2023030,1,Cell Biology,55
REG2023030,1,Microbiology,54
REG2023030,1,Bioinformatics,69
REG2023030,2,Biochemistry,75
REG2023030,2,Genetics,95
REG2023030,2,Cell Biology,96
REG2023030,2,Microbiology,80
REG2023030,2,Bioinformatics,83
REG2023030,3,Biochemistry,76
REG2023030,3,Genetics,99
REG2023030,3,Cell Biology,76
REG2023030,3,Microbiology,86
REG2023030,3,Bioinformatics,54
REG2023030,4,Biochemistry,58
REG2023030,4,Genetics,70
REG2023030,4,Cell Biology,91
REG2023030,4,Microbiology,54
REG2023030,4,Bioinformatics,78
REG2023031,1,Circuit Analysis,79
REG2023031,1,Digital Electronics,93
REG2023031,1,Power Systems,83
REG2023031,1,Control Systems,72
REG2023031,1,Signals & Systems,58
REG2023031,2,Circuit Analysis,99
REG2023031,2,Digital Electronics,85
REG2023031,2,Power Systems,90
REG2023031,2,Control Systems,87
REG2023031,2,Signals & Systems,61
REG2023031,3,Circuit Analysis,99
REG2023031,3,Digital Electronics,58
REG2023031,3,Power Systems,77
REG2023031,3,Control Systems,82
REG2023031,3,Signals & Systems,53
REG2023031,4,Circuit Analysis,57
REG2023031,4,Digital Electronics,83
REG2023031,4,Power Systems,59
REG2023031,4,Control Systems,69
REG2023031,4,Signals & Systems,60
REG2023032,1,Biochemistry,60
REG2023032,1,Genetics,70
REG2023032,1,Cell Biology,95
REG2023032,1,Microbiology,64
REG2023032,1,Bioinformatics,72
REG2023032,2,Biochemistry,83
REG2023032,2,Genetics,68
REG2023032,2,Cell Biology,55
REG2023032,2,Microbiology,66
REG2023032,2,Bioinformatics,62
REG2023032,3,Biochemistry,90
REG2023032,3,Genetics,85
REG2023032,3,Cell Biology,67
REG2023032,3,Microbiology,58
REG2023032,3,Bioinformatics,90
REG2023032,4,Biochemistry,69
REG2023032,4,Genetics,89
REG2023032,4,Cell Biology,84
REG2023032,4,Microbiology,55
REG2023032,4,Bioinformatics,82
REG2023033,1,Data Structures,91
REG2023033,1,Algorithms,60
REG2023033,1,Database Systems,87
REG2023033,1,Operating Systems,87
REG2023033,1,Discrete Mathematics,59
REG2023033,2,Data Structures,60
REG2023033,2,Algorithms,92
REG2023033,2,Database Systems,89
REG2023033,2,Operating Systems,96
REG2023033,2,Discrete Mathematics,88
REG2023033,3,Data Structures,71
REG2023033,3,Algorithms,86
REG2023033,3,Database Systems,52
REG2023033,3,Operating Systems,51
REG2023033,3,Discrete Mathematics,55
REG2023033,4,Data Structures,52
REG2023033,4,Algorithms,91
REG2023033,4,Database Systems,99
REG2023033,4,Operating Systems,86
REG2023033,4,Discrete Mathematics,66
REG2023034,1,Structural Analysis,91
REG2023034,1,Geotechnical Engineering,63
REG2023034,1,Transportation Engineering,99
REG2023034,1,Hydrology,86
REG2023034,1,Surveying,76
REG2023034,2,Structural Analysis,89
REG2023034,2,Geotechnical Engineering,90
REG2023034,2,Transportation Engineering,51
REG2023034,2,Hydrology,81
REG2023034,2,Surveying,90
REG2023034,3,Structural Analysis,84
REG2023034,3,Geotechnical Engineering,68
REG2023034,3,Transportation Engineering,91
REG2023034,3,Hydrology,69
REG2023034,3,Surveying,80
REG2023034,4,Structural Analysis,65
REG2023034,4,Geotechnical Engineering,93
REG2023034,4,Transportation Engineering,75
REG2023034,4,Hydrology,69
REG2023034,4,Surveying,79
REG2023035,1,Data Structures,54
REG2023035,1,Algorithms,94
REG2023035,1,Database Systems,53
REG2023035,1,Operating Systems,60
REG2023035,1,Discrete Mathematics,78
REG2023035,2,Data Structures,76
REG2023035,2,Algorithms,80
REG2023035,2,Database Systems,79
REG2023035,2,Operating Systems,63
REG2023035,2,Discrete Mathematics,71
REG2023035,3,Data Structures,88
REG2023035,3,Algorithms,59
REG2023035,3,Database Systems,70
REG2023035,3,Operating Systems,95
REG2023035,3,Discrete Mathematics,70
REG2023035,4,Data Structures,96
REG2023035,4,Algorithms,72
REG2023035,4,Database Systems,75
REG2023035,4,Operating Systems,58
REG2023035,4,Discrete Mathematics,98
REG2023036,1,Circuit Analysis,73
REG2023036,1,Digital Electronics,82
REG2023036,1,Power Systems,85
REG2023036,1,Control Systems,56
REG2023036,1,Signals & Systems,70
REG2023036,2,Circuit Analysis,65
REG2023036,2,Digital Electronics,79
REG2023036,2,Power Systems,57
REG2023036,2,Control Systems,67
REG2023036,2,Signals & Systems,78
REG2023036,3,Circuit Analysis,65
REG2023036,3,Digital Electronics,59
REG2023036,3,Power Systems,56
REG2023036,3,Control Systems,53
REG2023036,3,Signals & Systems,68
REG2023036,4,Circuit Analysis,74
REG2023036,4,Digital Electronics,89
REG2023036,4,Power Systems,76
REG2023036,4,Control Systems,65
REG2023036,4,Signals & Systems,60
REG2023037,1,Circuit Analysis,70
REG2023037,1,Digital Electronics,86
REG2023037,1,Power Systems,96
REG2023037,1,Control Systems,70
REG2023037,1,Signals & Systems,62
REG2023037,2,Circuit Analysis,98
REG2023037,2,Digital Electronics,60
REG2023037,2,Power Systems,81
REG2023037,2,Control Systems,82
REG2023037,2,Signals & Systems,79
REG2023037,3,Circuit Analysis,81
REG2023037,3,Digital Electronics,69
REG2023037,3,Power Systems,81
REG2023037,3,Control Systems,51
REG2023037,3,Signals & Systems,55
REG2023037,4,Circuit Analysis,75
REG2023037,4,Digital Electronics,82
REG2023037,4,Power Systems,79
REG2023037,4,Control Systems,65
REG2023037,4,Signals & Systems,63
REG2023038,1,Biochemistry,87
REG2023038,1,Genetics,72
REG2023038,1,Cell Biology,53
REG2023038,1,Microbiology,53
REG2023038,1,Bioinformatics,68
REG2023038,2,Biochemistry,81
REG2023038,2,Genetics,88
REG2023038,2,Cell Biology,91
REG2023038,2,Microbiology,93
REG2023038,2,Bioinformatics,80
REG2023038,3,Biochemistry,68
REG2023038,3,Genetics,84
REG2023038,3,Cell Biology,50
REG2023038,3,Microbiology,56
REG2023038,3,Bioinformatics,77
REG2023038,4,Biochemistry,58
REG2023038,4,Genetics,66
REG2023038,4,Cell Biology,96
REG2023038,4,Microbiology,73
REG2023038,4,Bioinformatics,98
REG2023039,1,Data Structures,75
REG2023039,1,Algorithms,73
REG2023039,1,Database Systems,52
REG2023039,1,Operating Systems,75
REG2023039,1,Discrete Mathematics,53
REG2023039,2,Data Structures,86
REG2023039,2,Algorithms,85
REG2023039,2,Database Systems,62
REG2023039,2,Operating Systems,73
REG2023039,2,Discrete Mathematics,85
REG2023039,3,Data Structures,68
REG2023039,3,Algorithms,54
REG2023039,3,Database Systems,74
REG2023039,3,Operating Systems,82
REG2023039,3,Discrete Mathematics,78
REG2023039,4,Data Structures,98
REG2023039,4,Algorithms,85
REG2023039,4,Database Systems,67
REG2023039,4,Operating Systems,89
REG2023039,4,Discrete Mathematics,93
REG2023040,1,Circuit Analysis,89
REG2023040,1,Digital Electronics,57
REG2023040,1,Power Systems,58
REG2023040,1,Control Systems,56
REG2023040,1,Signals & Systems,75
REG2023040,2,Circuit Analysis,73
REG2023040,2,Digital Electronics,100
REG2023040,2,Power Systems,71
REG2023040,2,Control Systems,85
REG2023040,2,Signals & Systems,73
REG2023040,3,Circuit Analysis,98
REG2023040,3,Digital Electronics,59
REG2023040,3,Power Systems,62
REG2023040,3,Control Systems,88
REG2023040,3,Signals & Systems,82
REG2023040,4,Circuit Analysis,75
REG2023040,4,Digital Electronics,82
REG2023040,4,Power Systems,52
REG2023040,4,Control Systems,52
REG2023040,4,Signals & Systems,52
REG2023041,1,Circuit Analysis,58
REG2023041,1,Digital Electronics,95
REG2023041,1,Power Systems,71
REG2023041,1,Control Systems,80
REG2023041,1,Signals & Systems,83
REG2023041,2,Circuit Analysis,79
REG2023041,2,Digital Electronics,59
REG2023041,2,Power Systems,88
REG2023041,2,Control Systems,82
REG2023041,2,Signals & Systems,58
REG2023041,3,Circuit Analysis,70
REG2023041,3,Digital Electronics,89
REG2023041,3,Power Systems,70
REG2023041,3,Control Systems,60
REG2023041,3,Signals & Systems,75
REG2023041,4,Circuit Analysis,89
